state,year,constituency,ac_no,district,sub_region,reservations,candidate_name,party,party_eci,url,winner,gender,age,so_do,address,profession,spouse_profession,criminal_cases,serious_criminal_cases,education,assets,liabilities,net_assets,filed_itr,declared_pan,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
Punjab,2022,BARNALA,,BARNALA,,,Abhikaran Singh,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=742,false,Male,27,Narinder Pal Singh,,Teaching,NA,0,false,Graduate Professional,1764312,0,1764312,true,true,,,,,
Punjab,2022,PATIALA RURAL,,PATIALA,,,Abhishek Singh,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=715,false,Male,32,Harminder Singh,,Business,Business,0,false,12th Pass,870000,695000,175000,true,true,,,,,
Punjab,2022,MALERKOTLA,,MALERKOTLA,,,Abdul Sattar,CPI(M),,http://myneta.info/punjab2022/candidate.php?candidate_id=220,false,Male,43,Aziz Khan,,Labour,House Wife,0,false,5th Pass,1205550,0,1205550,true,true,,,,,
Punjab,2022,PATTI,,TARN TARAN,,,Adesh Partap Singh,SAD,,http://myneta.info/punjab2022/candidate.php?candidate_id=625,false,Male,62,Late Surinder Singh,,"Ex MLA, Business, Agriculture and Politician","Business, Agriculture &amp; Politician",0,false,Post Graduate,831354000,20921000,810433000,true,true,,,,,
Punjab,2022,LUDHIANA CENTRAL,,LUDHIANA,,,Adv.Raminder Pal Singh,Peoples Party of India (Democratic),,http://myneta.info/punjab2022/candidate.php?candidate_id=231,false,Male,55,S. Manpreet Singh,,Advocate,NA,1,false,Graduate Professional,321247,45087,276160,true,true,,,,,
Punjab,2022,PHILLAUR (SC),,JALANDHAR,,,Advocate Ajay Kumar Phillaur,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=967,false,Male,32,Major Lal,,Lawyer,LIC Agent,0,false,Post Graduate,765794,0,765794,true,true,,,,,
Punjab,2022,KARTARPUR (SC),,JALANDHAR,,,Advocate Balwinder Kumar,BSP,,http://myneta.info/punjab2022/candidate.php?candidate_id=107,false,Male,43,Sh. Gopal Dass,,Private Job Work,House Wife,0,false,Post Graduate,4373571,0,4373571,true,true,,,,,
Punjab,2022,LUDHIANA WEST,,LUDHIANA,,,Advocate Bikram Singh Sidhu,BJP,,http://myneta.info/punjab2022/candidate.php?candidate_id=1282,false,Male,50,Sakattar Singh,,Advocate,Business,0,false,Post Graduate,139364590,19775017,119589573,true,true,,,,,
Punjab,2022,PATHANKOT,,PATHANKOT,,,Advocate Jyoti Pal Bhim,BSP,,http://myneta.info/punjab2022/candidate.php?candidate_id=188,false,Male,41,Mahi Pal,,Advocate,House Wife,0,false,Graduate Professional,3836000,404000,3432000,true,true,,,,,
Punjab,2022,AMRITSAR WEST (SC),,AMRITSAR,,,Advocate Nirmal Preet Singh Hira,IND,,http://myneta.info/punjab2022/candidate.php?candidate_id=10,false,Male,31,Late Harinder Pal Singh,,Advocate,Advocate,0,false,Graduate Professional,1821566,360025,1461541,true,true,,,,,
