state,year,constituency,ac_no,district,sub_region,reservations,candidate_name,party,party_eci,url,winner,gender,age,so_do,address,profession,spouse_profession,criminal_cases,serious_criminal_cases,education,assets,liabilities,net_assets,filed_itr,declared_pan,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
Uttar Pradesh,2022,LUCKNOW EAST,,LUCKNOW,,,Aashish Kumar Sinha,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2667,false,Male,42,Lt. Umesh Kumar Sinha,,Lawyer,Document Writer,2,true,Post Graduate,93559817,28783500,64776317,true,true,,,,,
Uttar Pradesh,2022,HASANPUR,,AMROHA,,,Aasim Sabri,INC,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1583,false,Male,44,Liyaqat,,Agriculture,Nil,1,true,Graduate Professional,48719946,2958148,45761798,true,true,,,,,
Uttar Pradesh,2022,BITHARI CHAINPUR,,BAREILLY,,,Abdul Fahim,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1073,false,Male,37,Abdul Hafeej,,Driver,House wife,0,false,Graduate,3028026,0,3028026,true,true,,,,,
Uttar Pradesh,2022,HASANPUR,,AMROHA,,,Abdul Khaliq,Naki Bharatiya Ekta Party,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1579,false,Male,35,Jyaul Hasan,,Driver,House wife,0,false,8th Pass,1753000,0,1753000,true,true,,,,,
Uttar Pradesh,2022,SANDILA,,HARDOI,,,Abdul Mannan,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2612,false,Male,65,Abdul Jabbar,,Social woker Agriculture,House Wife,0,false,Graduate,54020629,5373330,48647299,true,true,,,,,
Uttar Pradesh,2022,CHAMRAUA,,RAMPUR,,,Abdul Mustafa Husain,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1191,false,Male,42,Haji Nisar Husain,,Agriculture Work,Nil,2,true,Graduate Professional,11638982,0,11638982,true,true,,,,,
Uttar Pradesh,2022,HUSAINGANJ,,FATEHPUR,,,Abdul Rajik,AAP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2853,false,Male,49,A. Wahab,,Pension,House wife,0,false,12th Pass,6024677,0,6024677,true,true,,,,,
Uttar Pradesh,2022,BANGERMAU,,UNNAO,,,Abdul Rzzak Mansuri,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2469,false,Male,60,Late. Rasool Bakhsh Mansoori,,Private Job,NA,0,false,8th Pass,145000,0,145000,true,true,,,,,
Uttar Pradesh,2022,GARHMUKTESHWAR,,HAPUR,,,Abha Chaudhary,INC,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=245,false,Female,42,Sachin Choudhary,,"Social worker, House wife and Business","Social Worker, Agriculture and Advisor ",0,false,Post Graduate,195500065,10980849,184519216,true,true,,,,,
Uttar Pradesh,2022,MUZAFFAR NAGAR,,MUZAFFARNAGAR,,,Abha Sharma,AAP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=790,false,Female,40,Krishan Avtar Sharma,,House wife,Transporter,0,false,Graduate Professional,5600000,0,5600000,true,true,,,,,
Uttar Pradesh,2022,SARENI,,RAE BARELI,,,Abhay Kumar,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2364,false,Male,36,Late Ram Ratan,,Business ,House Wife,0,false,12th Pass,442000,0,442000,true,true,,,,,
Uttar Pradesh,2022,PATIYALI,,KASGANJ,,,Abhay Pratap Singh,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1937,false,Male,32,Prathma Nand,,Labour ,House Wife ,0,false,Post Graduate,1370000,0,1370000,true,true,,,,,
Uttar Pradesh,2022,BITHOOR,,KANPUR NAGAR,,,Abhijeet Singh,BJP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1753,false,Male,39,Lt. Dhirendra Singh,,Agriculture Business &amp; Business,House wife,5,true,Graduate,63979334,5026198,58953136,true,true,https://myneta.info/Uttarpradesh2022/index.php?action=affidavitComparison&myneta_folder2=uttarpradesh2017&id1=1753&id2=2717,63979334,44274840,19704494,
Uttar Pradesh,2022,KIDWAI NAGAR,,KANPUR NAGAR,,,Abhimanyu,SP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2243,false,Male,38,Pawan,,Advocate,Pvt. Tuition ,1,true,Post Graduate,13681384,4003372,9678012,true,true,,,,,
Uttar Pradesh,2022,BINDKI,,FATEHPUR,,,Abhimanyu Singh,INC,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2265,false,Male,40,Amar Singh,,Agriculture and Business,Business,1,false,Graduate,182463630,0,182463630,true,true,,,,,
Uttar Pradesh,2022,UNNAO,,UNNAO,,,Abhinav Kumar,SP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2487,false,Male,31,Late Deepak Kumar,,"Agriculture, House Rent Income &amp; Interest  Income",Not Applicable ,0,false,Graduate Professional,41320000,1800000,39520000,true,true,,,,,
Uttar Pradesh,2022,SANDILA,,HARDOI,,,Abhinay Gupta,Bhartiya Shakti Chetna Party,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2615,false,Male,28,Ram Parsad Gupta,, Agriculture,NA,0,false,Graduate,2826000,600000,2226000,true,true,,,,,
Uttar Pradesh,2022,NAGINA (SC),,BIJNOR,,,Abhinay Kumar,Peoples Party of India (Democratic),,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1132,false,Male,35,Maimal Singh,,Advocate,Service,0,false,Graduate Professional,1508457,0,1508457,true,true,,,,,
Uttar Pradesh,2022,CHARTHAWAL,,MUZAFFARNAGAR,,,Abhishek,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=599,false,Male,36,Sadhu singh,,Unemployed,House wife,0,false,12th Pass,213852,0,213852,true,true,,,,,
Uttar Pradesh,2022,SAROJINI NAGAR,,LUCKNOW,,,Abhishek Mishra,SP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2630,false,Male,44,Jai Shankar Mishra,,Poiltics and Management Consultant,Management Consultant,3,false,Doctorate,79311256,1425000,77886256,true,true,,,,,
Uttar Pradesh,2022,TILHAR,,SHAHJAHANPUR,,,Abhishek Singh Kushwaha,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1314,false,Male,31,Durvijay Singh,,Agriculture,Unmarried,0,false,Graduate,33000,0,33000,true,true,,,,,
Uttar Pradesh,2022,GOLA GOKRANNATH,,KHERI,,,Abhishekh Kumari,Nai Kranti Party,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2549,false,Female,26,Rahul Kumar,,Private Job &amp; Tuition,Private Job ,0,false,Graduate,500271,0,500271,true,true,,,,,
